adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/tfUotS2rLaIu7ieJPDonyDn5EqQ.jpg,"[35, 28]",10661,en,You Don't Mess with the Zohan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,39.693,/gBhLQmpCPoKFMCGsulMbIFzrBID.jpg,2008-06-05,You Don't Mess with the Zohan,False,5.7,3577
False,/sODk4VuMTt8S56zYFOr1Kx8BFqu.jpg,"[28, 53, 878, 12]",95,en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",39.688,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,1998-07-01,Armageddon,False,6.8,7588
False,/rXrpYOveFl76ivMmyb2612T7Q8w.jpg,"[28, 35, 80]",64688,en,21 Jump Street,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",39.68,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,2012-03-14,21 Jump Street,False,6.9,9924
False,/hZ5r3hrbQ9uqXBxto1VpixOfqvj.jpg,"[18, 53]",870518,en,Sanctuary,"Confined to a claustrophobic hotel room, the heir to a hotel empire and the dominatrix who has primed him for success become locked in a battle of wits and wills as he tries to end his relationship with her.",39.667,/yGQAZupyZgT2ESbBSMZ9R0OBToo.jpg,2023-04-06,Sanctuary,False,6.2,146
False,/oghHR3X0hIcvs7xqyoFjA0GAZWn.jpg,[53],1002338,is,Napóleonsskjölin,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.",39.658,/l5VLVINzfiltL1fqNLt8oMTWnr0.jpg,2023-01-26,Operation Napoleon,False,6.1,92
False,/jFK8BOPL6ZeWyjMVWX8ajsTTinp.jpg,"[16, 18, 14, 10749]",568160,ja,天気の子,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",39.626,/qgrk7r1fV4IjuoeiGS5HOhXNdLJ.jpg,2019-06-19,Weathering with You,False,8.0,2125
False,/kgqgbPB2snzVlkMkQjYAvmF1hkc.jpg,"[28, 18, 10751, 12]",11231,en,The Next Karate Kid,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",39.619,/wI3gCi9w1cuUJCiwhviAy46we9Q.jpg,1994-07-18,The Next Karate Kid,False,5.4,960
False,/qiBILuWhv7ipF0pxiEqIJdkQzj8.jpg,"[28, 18, 9648, 53]",2503,en,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",39.607,/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,2007-08-03,The Bourne Ultimatum,False,7.4,7340
False,/gBwujuep3xyjkPVbcLfhZ9sOHLP.jpg,"[35, 14, 10749]",10096,en,13 Going on 30,"A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old, but adulthood, with its own set of male-female challenges, isn't as easy as it looks.",39.587,/iNZdSIfhSCMtRILDNyhLn8UKeSG.jpg,2004-04-13,13 Going on 30,False,6.7,4919
False,/T5xXoFqyc9jNXZIbH4Sw0jwWjw.jpg,[53],605886,en,Misántropo,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,39.586,/mFp3l4lZg1NSEsyxKrdi0rNK8r1.jpg,2023-04-06,To Catch a Killer,False,6.972,825
False,/uG1v9Hk1XKICd6IJChRR20mBh8i.jpg,"[16, 28, 12, 35, 10751]",431693,en,Spies in Disguise,"Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is… not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way.",39.568,/30YacPAcxpNemhhwX0PVUl9pVA3.jpg,2019-12-04,Spies in Disguise,False,7.6,2662
False,/coTUjqmUcrNLhxVISDdAAphemLt.jpg,"[28, 12, 35, 10749]",1727,en,Bird on a Wire,"An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.",39.566,/vhsv2PrAPZ79ZpV64AJ2TiEI2zX.jpg,1990-05-18,Bird on a Wire,False,6.2,878
False,/8OAuQm5Bxg4k4HIYfmcga5rYSzU.jpg,"[28, 878, 53]",1738,en,Next,"Las Vegas showroom magician Cris Johnson has a secret which torments him: he can see a few minutes into the future. Sick of the examinations he underwent as a child and the interest of the government and medical establishment in his power, he lies low under an assumed name in Vegas, performing cheap tricks and living off small-time gambling ""winnings."" But when a terrorist group threatens to detonate a nuclear device in Los Angeles, government agent Callie Ferris must use all her wiles to capture Cris and convince him to help her stop the cataclysm.",39.552,/td5uOBW41ib1KGz3g1Kc33BdFyj.jpg,2007-04-25,Next,False,6.1,2827
False,/aMdz0ngZaAsKvlbOCIXieHd9fgD.jpg,"[16, 10751, 14, 12]",9444,en,Anastasia,"Ten years after she was separated from her family, an eighteen-year-old orphan with vague memories of the past sets out to Paris in hopes of reuniting with her grandmother. She is accompanied by two con men, who intend to pass her off as the Grand Duchess Anastasia to the Dowager Empress for a reward.",39.55,/8LDVAMImGuMrNvyUWctvF4qkHwQ.jpg,1997-11-20,Anastasia,False,7.6,5097
False,/dMqbyB5GQvDujXiKdKPhWT0VTRw.jpg,"[12, 16, 10751]",10010,en,Brother Bear 2,"Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay.",39.532,/yaA8q2zHHUgFWdJNxXyAdU71SzM.jpg,2006-08-17,Brother Bear 2,False,6.6,1407
False,/c9xSFZQtC4c16Vn5CMOaB1pGk9J.jpg,"[18, 36, 10752, 28]",2024,en,The Patriot,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",39.529,/fWZd815QxUCUcrWQZwUkAp9ljG.jpg,2000-06-28,The Patriot,False,7.2,3716
False,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,"[10752, 18, 28, 36]",429351,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,39.499,/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,2018-01-18,12 Strong,False,6.3,2811
False,/vTNzXPvFRn8Z4vn2myhkNpq26J6.jpg,"[35, 80, 28]",290250,en,The Nice Guys,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,39.495,/uXdQztKoAtx7UU3RvqeF52KsoQP.jpg,2016-05-15,The Nice Guys,False,7.1,7545
False,/qSVIlRv80dFtIcmb6CAT7WDtlHZ.jpg,[18],1241755,tl,TL,"Brenda, a top agent in a BPO company, is always overlooked for promotion. But not this time; as she gets more than intimate with her TL. Is her long awaited position within her reach? Or did she just put herself in a bad situation?",39.494,/sze10NcTe4gAL7q7Fr8nORRh78Y.jpg,2024-03-30,TL,False,0.0,0
False,/lMWOcXVA62xnk1jSaz8iwrxVJR7.jpg,[18],795514,en,The Fallout,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",39.494,/y94auaBWq1E7sun3ZpvBmQfGUW.jpg,2021-03-17,The Fallout,False,7.6,1011
False,/laeEtakR2pLKu3CeRwB2lU5Y53X.jpg,"[16, 10751, 12]",10567,en,Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,39.491,/rSje3FS7ycJSglowlngjsvDt7vO.jpg,2000-05-19,Dinosaur,False,6.5,2380
False,/o4jSxqUxrVrocEX93GcB63POSYF.jpg,[35],73835,it,Il Paramedico,"At work, Mario Millio is the only male nurse not on strike. At home, his wife is more interested in calling the hot-line of a local TV-doctor. When Mario wins 15 million Lire in the lottery, he buys himself a new car and starts to live out his dreams in secret. All goes well until a criminal steals the car and Mario is blamed for the car thief's crimes",39.488,/i4Z1KvQ7UC4CiktHp6icTgm20hD.jpg,1982-02-07,The Paramedic,False,4.3,10
False,/tj7mp7uWjVw5N73G5Hwm1bkMOcD.jpg,"[28, 10752]",975902,en,Boudica,"Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.",39.482,/adMcxfUonnm9RvPImGHy25wYUks.jpg,2023-10-26,Boudica,False,5.8,124
False,/5Zv5KmgZzdIvXz2KC3n0MyecSNL.jpg,"[28, 18, 53]",634528,en,The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",39.452,/6vcDalR50RWa309vBH1NLmG2rjQ.jpg,2021-01-15,The Marksman,False,6.9,1482
False,/yCRYYGldFGVa4cmZVpTVCRQMfjA.jpg,"[28, 12, 14]",350312,te,బాహుబలి 2: ది కన్ క్లూజన్,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",39.452,/21sC2assImQIYCEDA84Qh9d1RsK.jpg,2017-04-27,Bāhubali 2: The Conclusion,False,7.4,700
False,/i109vzdCkG7W3H9FxHmfpZjgh61.jpg,"[10751, 12, 18]",522518,en,A Dog's Journey,A dog finds the meaning of his own existence through the lives of the humans he meets.,39.445,/wquJChp0NpoqthYdE3YjXNNxvVC.jpg,2019-05-03,A Dog's Journey,False,8.0,1413
False,/t13F39lA2f4f5F3s3b23Htai1Pf.jpg,[10749],1241980,en,Shifting Gears,"After female mechanic Jess reluctantly agrees to participate in a car restoration show, she is shocked to learn that her ex-boyfriend, Luke, is her main competitor.",39.437,/7khTyvtigzx9NWbrGvFb3HjXacD.jpg,2024-03-23,Shifting Gears,False,5.0,1
False,/3UnUxeEAGoZhjIW8X1HpEuDPngV.jpg,[53],568091,en,Fractured,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",39.437,/paZNRffT3kUckuRFKbeDBuX1YcZ.jpg,2019-09-22,Fractured,False,6.7,2361
False,/xIAaN3AQqaJiN5RJ0WsmBady8Hq.jpg,"[28, 53, 9648, 80, 12]",440471,en,Escape Plan 2: Hades,"Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, Ray must track him down with the help of some of his former friends.",39.422,/A6tb8JNrie2qT8JC2tGqshayuck.jpg,2018-06-05,Escape Plan 2: Hades,False,5.2,1374
False,/aBmy0ofVWJ45AeBh7F5XWROi1c2.jpg,"[28, 12]",732684,ru,Либерея: Охотники за сокровищами,"While digging one of the many tunnels for the Moscow metro, Soviet workers unearth ruins of a dungeon. The site is closed, the metro tunnel is diverted, and amidst the bustle no one notices the tunnel workers’ foreman pocketing a little ‘souvenir’ – a book-sized frame made of precious metals featuring an inscription in an unknown language. Decades later, the foreman’s grandson Ilya, who works as a courier, discovers the ancient relic in a pile of old junk. Oblivious to the true value of the family heirloom, he soon learns about it from a mysterious stranger. The relic is the key to the secret location of the priceless ancient library that belonged to Ivan the Terrible. What Ilya doesn’t know is that the search for the lost library has been going on for centuries, and now very powerful people are after him. Ilya and the mysterious stranger decide to try their luck in finding the library.",39.417,/lc0KueWbDDwIsg76JnPohA7jday.jpg,2022-10-27,Raiders of the Lost Library,False,5.7,44
False,/nkJiNEUlyOKq6YH759luIab6HSU.jpg,"[27, 53]",357096,en,I Spit on Your Grave III: Vengeance Is Mine,"Jennifer Hills is still tormented by the brutal sexual assault she endured years ago. She’s changed identities and cities, reluctantly joining a support group where she begins to piece together a new life. But when her new friend’s murderer goes free and the tales of serial rapists haunt her, Jennifer will hunt down the men responsible and do what the system won’t – make them pay for their crimes in the most horrific ways imaginable. Only this time, no jury may be able to save her.",39.405,/jG5GDIcqiqHXkvINZSjyzBUO2vH.jpg,2015-10-01,I Spit on Your Grave III: Vengeance Is Mine,False,5.7,896
